App: LBANN-1.0.0-Autoencoder_cifar10_POSIX
I/O Intensity: 
     io_time  comm_time  compute_time  total_time
28  0.093857   0.828955      0.077188         1.0
29  0.085844   0.833460      0.080696         1.0
30  0.073707   0.840388      0.085905         1.0
31  0.084329   0.835617      0.080054         1.0
32  0.336676   0.629666      0.033657         1.0
33  0.078356   0.834137      0.087507         1.0
34  0.081372   0.832984      0.085644         1.0
35  0.081195   0.833524      0.085281         1.0
36  0.097768   0.826511      0.075721         1.0
37  0.083612   0.835584      0.080804         1.0
38  0.071177   0.842850      0.085973         1.0
39  0.077967   0.841993      0.080040         1.0
40  0.364202   0.543773      0.092026         1.0
41  0.072004   0.821979      0.106017         1.0
42  0.070323   0.825926      0.103751         1.0
43  0.074060   0.822968      0.102972         1.0
44  0.095713   0.808834      0.095453         1.0
45  0.083921   0.816809      0.099270         1.0
46  0.073957   0.822267      0.103776         1.0
47  0.081577   0.819299      0.099124         1.0
48  0.402598   0.588039      0.009363         1.0
49  0.067656   0.844480      0.087864         1.0
50  0.070837   0.842654      0.086509         1.0
51  0.071402   0.842304      0.086294         1.0
52  0.084463   0.838935      0.076602         1.0
53  0.072488   0.845222      0.082290         1.0
54  0.062042   0.851460      0.086498         1.0
55  0.071293   0.847088      0.081620         1.0
56  0.247636   0.672353      0.080011         1.0
57  0.063901   0.847011      0.089088         1.0
58  0.065866   0.846877      0.087257         1.0
59  0.069419   0.845221      0.085360         1.0
60  0.081693   0.839424      0.078883         1.0
61  0.068952   0.848068      0.082981         1.0
62  0.065009   0.851434      0.083557         1.0
63  0.067609   0.850431      0.081960         1.0
Mean I/O Intensity over ranks: 
io_time         0.108717
comm_time       0.808750
compute_time    0.082533
total_time      1.000000
==================================


App: FLASH4.4-Sedov_2d_ug_fbs
I/O Intensity: 
     io_time  comm_time  compute_time  total_time
0   0.695377   0.314202     -0.009579         1.0
1   0.640843   0.376707     -0.017549         1.0
2   0.639468   0.396744     -0.036212         1.0
3   0.640162   0.364794     -0.004956         1.0
4   0.651891   0.408832     -0.060723         1.0
5   0.654817   0.445089     -0.099906         1.0
6   0.640148   0.450301     -0.090449         1.0
7   0.613872   0.462937     -0.076809         1.0
8   0.568364   0.495330     -0.063693         1.0
9   0.585907   0.467267     -0.053174         1.0
10  0.594998   0.455633     -0.050631         1.0
11  0.604843   0.449327     -0.054169         1.0
12  0.650152   0.446558     -0.096710         1.0
13  0.617624   0.498853     -0.116477         1.0
14  0.617593   0.473014     -0.090607         1.0
15  0.632214   0.467929     -0.100143         1.0
16  0.577672   0.500785     -0.078457         1.0
17  0.597375   0.460550     -0.057925         1.0
18  0.580866   0.464210     -0.045077         1.0
19  0.578607   0.492557     -0.071164         1.0
20  0.646938   0.453347     -0.100285         1.0
21  0.639612   0.460429     -0.100041         1.0
